standar,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Todas las modalityes,11.1.1,8,,"Los profesionales de la medicina de los servicios de hospitalización de baja, mediana y alta complejidad, hospitalización paciente crónico con y sin ventilador, cuidados intensivos neonatales, pediátricos y adultos; urgencias y servicios del grupo quirúrgico en modality intramural, cuentan con certificación vigente de aprobación de la evaluación de competencias esenciales para el cuidado de la donante expedida por el Instituto Nacional de Salud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,9,,"Las Instituciones Prestadoras de Servicios de Salud  con servicios de cuidado intensivo pediátrico  y adulto que adicionalmente habiliten el servicio quirúrgico de neurocirugía, tienen disponibilidad  de coordinador operativo de trasplantes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,10,,"El talento humano en salud de los servicios de salud de los grupos de consulta externa, internación y el servicio de urgencias, cuentan con constancia de asistencia en las acciones de formación continua en la atención integral en salud de las personas víctimas de violencia sexual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,11,,"El talento humano en salud de los servicios de transporte asistencial, atención prehospitalaria y urgencias, cuentan con constancia de asistencia en las acciones de formación continua en la atención a personas víctimas de ataques con agentes químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,12,,"Cuando en un servicio de salud se realicen “pruebas en el punto de atención del paciente – (Point of Care Testing –POCT)”, el talento humano en salud que las realice, con excepción del profesional de bacteriología cuenta con constancia de asistencia en las acciones de formación continua en el manejo de estas pruebas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,,Procedimientos bajo sedación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.1,"• Cuando fuera de salas de cirugía se realicen procedimientos bajo sedación Grado I y II, adicional al profesional de salud que realiza el procedimiento, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.1.1,"• Profesional de la medicina especialista en anestesiología, o profesional de la medicina o profesional de la odontología, según aplique, el cual será el encargado de administrar el medicamento y realizar el monitoreo continuo del paciente (registro de signos vitales y la respuesta a la sedación).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.1.2,"• Todos los profesionales, a excepción del profesional de la medicina especialista en anestesiología, deben demostrar constancia de asistencia a curso de formación continua en soporte vital básico y sedación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.1.3,"• Para sedación con óxido nitroso en odontología, el profesional de la odontología cuenta con constancia de asistencia en las acciones de formación continua para el uso clínico y práctico de este gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.2,"• Cuando fuera de salas de cirugía, se realicen procedimientos bajo sedación Grado III, adicional al profesional de salud que realiza el procedimiento, cuenta con profesional de la medicina con especialidad médico - quirúrgica, quien será el responsable de administrar la sedación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.3,"• Cuando fuera de salas de cirugía, se realicen procedimientos bajo sedación Grado IV, adicional al profesional de salud que realiza el procedimiento, cuenta con profesional de la medicina especialista en anestesiología, quien será el responsable de administrar la sedación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,13,13.4,"• Cuenta con profesional de la medicina especialista en anestesiología cuando la atención se trate de pacientes con características particulares: poco colaboradores; edades extremas; con enfermedades severas: cardíacas, pulmonares, hepáticas, renales o del sistema nervioso central; cualquier alteración del grado de consciencia, con obesidad mórbida, con apnea del sueño, embarazadas, o quienes abusan del alcohol o de las drogas; antecedentes de sedación fallida o que presentaron efectos adversos a algún medicamento utilizado en la sedación, por tener un elevado riesgo de desarrollar complicaciones relacionadas con la sedación o analgesia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,modality de telemedicina prestador remisor - prestador de referencia,11.1.1,14,,"Adicional a los criterios del estándar de talento humano enunciados que le aplique, el talento humano en salud que presta directamente un servicio de salud bajo la modality de telemedicina cuenta con constancia de asistencia en las acciones de formación continua en el manejo de la tecnología utilizada por el prestador, los procesos y herramientas inherentes a la prestación de servicios bajo esta modality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,1,,"Los servicios de salud de urgencias, de atención del parto, hospitalarios y de cirugía que realicen procedimientos quirúrgicos no ambulatorios, solo se pueden prestar en edificaciones de uso exclusivo de salud.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,2,,"Los servicios de salud de: urgencias, cirugía y del grupo de internación, así como en los servicios de salud donde se realice el proceso de esterilización, deben contar con ambiente de aseo de uso exclusivo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,3,,"Cuando en una edificación de uso exclusivo de salud funcione más de un prestador de servicios de salud con servicios de los grupos de consulta externa y apoyo diagnóstico y complementación terapéutica, cada prestador cuenta con infraestructura separada y delimitada físicamente. Se pueden compartir los siguientes ambientes y áreas: aseo, salas de espera y unidades sanitarias.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,4,,"Las edificaciones donde se presten servicios de salud de urgencias y del grupo de internación, cuentan con tanque de almacenamiento de agua para el consumo humano que garantice como mínimo una reserva de 24 horas de servicio continuo, calculado con base en el consumo de 600 lt por cama/camilla día",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,5,,"Cuando el prestador de servicios de salud cuente con más de una infraestructura y estas se puedan vincular funcionalmente entre sí, lo harán mediante túnel o puente cubierto, o muro(s) colindante(s) que cuente(n) con acceso(s) que intercomunique(n) las infraestructuras, de uso exclusivo del prestador y adicionalmente cumplen con las siguientes características:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,5,5.1,"• Ancho que permita la movilización de camas, camillas, sillas de ruedas, equipos biomédicos y personal para el traslado de los pacientes en condiciones seguras.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,5,5.2,"• El piso del túnel o puente debe ser uniforme y de material antideslizante o con elementos que garanticen esta propiedad en todo su recorrido, con pasamanos a ambos lados y con protecciones laterales hacia espacios libres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,5,5.3,• Lo anterior siempre y cuando la norma urbanística de la jurisdicción donde se localizan las sedes haya aprobado esta forma de vinculación funcional entre las mismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud,11.1.2,5,5.4,"• Esta edificación se podrá habilitar como una o varias sedes, de acuerdo con lo que determine el prestador de servicios de salud.
Todo lo anterior siempre y cuando la norma urbanística de la jurisdicción donde se localizan las sedes haya aprobado esta forma de vinculación funcional entre las mismas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso mixto,11.1.2,6,,"Cuando en una edificación de uso mixto funcione más de un prestador de servicios de salud, cada uno cuenta con infraestructura separada y delimitada físicamente. Se pueden compartir las salas de espera y las unidades sanitarias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso mixto,11.1.2,7,,"En edificaciones de uso mixto pueden funcionar los prestadores de servicios de salud que oferten y presten servicios de los grupos de consulta externa, de apoyo diagnóstico y complementación terapéutica y los servicios del grupo quirúrgico que realicen exclusivamente procedimientos de cirugía ambulatoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,8,,"Los prestadores de servicios de salud ubicados en edificaciones de hasta tres (3) pisos o niveles contados a partir del nivel más bajo construido, y que funcionen en segundo o tercer nivel o piso, cuentan con ascensor o rampa o sistema alternativo de elevación. El sistema alternativo de elevación no puede ser utilizado cuando se presten servicios hospitalarios, cirugía, urgencias, o de atención del parto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,9,,Los sistemas alternativos de elevación deben cumplir con las siguientes condiciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,9,9.1,• Su ubicación no interfiera con el acceso y evacuación de los usuarios por las escaleras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,9,9.2,• Estén disponibles tanto para el acceso como para la evacuación de los usuarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,9,9.3,• Su manejo sea autónomo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,9,9.4,• Garanticen seguridad durante su uso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,10,,"Las edificaciones con más de tres (3) pisos o niveles, contados a partir del nivel más bajo construido, cuentan con ascensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,11,,"En edificaciones donde se presten servicios de los grupos de internación, atención del parto, quirúrgicos o urgencias para la movilización de pacientes en camilla, la cabina de los ascensores debe tener las dimensiones interiores mínimas de 2.20 de profundidad y de 1.20 de ancho, que garantice el traslado seguro de los pacientes. Las dimensiones de la cabina podrán ser variables en el o los ascensores que el prestador determine para la movilización de usuarios a pie o en sillas de ruedas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,12,,"Si se tienen escaleras o rampas, el piso debe ser uniforme y de material antideslizante o con elementos que garanticen esta propiedad en todo su recorrido, con pasamanos a uno o ambos lados y con protecciones laterales hacia espacios libres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,13,,"Las edificaciones donde se presten servicios de salud cuentan con suministro de agua, energía eléctrica, conexión a la red de alcantarillado y sistemas de comunicaciones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,14,,"En edificaciones donde se presten servicios de cirugía, atención del parto, laboratorio clínico, urgencias, gestión pre transfusional, diálisis, hospitalarios, imágenes diagnósticas, vacunación, servicio farmacéutico y los que requieran cadena de frio, cuentan con planta eléctrica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,15,,"El prestador de servicios de salud que utilice equipos generadores de radiaciones ionizantes, cuenta con licencia de práctica médica vigente expedida por la entidad competente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,16,,"El prestador de servicios de salud que utilice fuentes radioactivas cuenta con autorización vigente de empleo de material radiactivo, expedida por la entidad reguladora competente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Edificaciones de uso exclusivo en salud y edificaciones de uso mixto,11.1.2,17,,"Cada prestador de servicios de salud debe contar con el respectivo concepto sanitario que dé cumplimiento a lo establecido en la normatividad sanitaria vigente en aspectos tales como agua para consumo humano, gestión de residuos, control de vectores, orden y aseo, condiciones locativas, entre otros. Este concepto será emitido por las autoridades sanitarias correspondientes, en el marco de sus competencias y debe considerar los servicios de apoyo como lavandería y servicio de alimentación. Cuando estos servicios de apoyo son contratados con terceros, dichos proveedores deben contar con el concepto sanitario correspondiente a la actividad de bienes y servicios que presta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,18,,Las áreas y ambientes de todos los servicios de salud cuentan con ventilación e iluminación natural o artificia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,19,,"Las áreas de circulación de los servicios están libres de obstáculos de manera que permitan la movilización de pacientes, talento humano, usuarios y equipos biomédicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,20,,"Los ambientes y áreas que hagan parte de cualquier servicio de salud, deben permitir la instalación y movilización de equipos biomédicos y personal necesarios para la atención del paciente en condiciones de rutina o de emergencia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,21,,"En los servicios del grupo quirúrgico, los ambientes y áreas clasificados como no restringidos, semi- restringidos y restringidos, deben señalizarse mediante la demarcación permanente en piso con material lavable y resistente al tráfico pesado, utilizando los siguientes colores:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,21,21.1,• Verde: Ambientes o áreas no restringidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,21,21.2,• Amarillo: Ambientes o áreas semi-restringidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,21,21.3,• Roja: Ambientes o áreas restringidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,22,,"Cada uno de los pisos o niveles de la edificación cuenta con señalización y planos indicativos de las rutas de evacuación, salidas de emergencia y puntos de encuentro, visible al público en general",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,23,,"Si el prestador de servicios de salud no tiene habilitado el servicio de gestión pre transfusional, pero realiza procedimientos de transfusión sanguínea en alguno de sus servicios habilitados, tiene disponibilidad de un área con iluminación y ventilación natural o artificial, para la ubicación de la dotación requerida de acuerdo con los componentes sanguíneos a transfundir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,24,,"Cuando un prestador de servicios de salud realice procedimientos bajo sedación fuera de salas de cirugía, tiene disponibilidad de área o ambiente para la recuperación de pacientes que puede ser la misma área o ambiente donde se realiza el procedimiento, garantizando la privacidad del usuario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,,"El prestador de servicios de salud que realice el proceso de esterilización, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.1,• Ambiente o área de recibo de material contaminado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.2,• Ambiente o área de lavado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.3,• Ambiente o área de secado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.4,• Ambiente o área de empaque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.5,• Ambiente o área de esterilización,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.6,• Ambiente o área para almacenamiento del material estéril.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.7,• Mesón de trabajo con poceta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,25,25.8,"• Lavamanos, cuando el proceso se realice fuera del servicio de salud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,26,,"El prestador de servicios de salud que contrate el proceso de esterilización, dentro de su infraestructura cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,26,26.1,"• Ambiente o área para lavado, limpieza y desinfección y entrega de material limpio al proveedor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,26,26.2,• Ambiente o área para la recepción y almacenamiento de material estéril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,,El prestador de servicios de salud que realice el proceso de esterilización en una central de esterilización cuenta con los siguientes ambientes y áreas señalizadas unidireccionales y de circulación restringida:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.1,• Ambiente de recibo y lavado de material contaminado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.2,• Ambiente limpio con las siguientes áreas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.2.1, • Área de secado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.2.2,• Área de empaque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.2.3,• Área de esterilización,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Generalidades de los ambientes y las áreas de los servicios y sus características,11.1.2,27,27.3,• Ambiente para almacenamiento del material estéril.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,,"Consultorio:
Para efectos del presente Manual se definen los siguientes tipos de consultorios de acuerdo con la oferta de servicios:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.1,Consultorio donde se realiza examen físico: Ambiente con mínimo 10 m2 (sin incluir la unidad sanitaria) que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.1.1, • Área para entrevista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.1.2,• Área de examen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.1.3,• Lavamanos. No se exige adicional si el consultorio cuenta con unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.1.4,"• Las áreas están separadas entre sí por barrera física fija o móvil, con excepción de los consultorios del servicio de urgencias, optometría y oftalmología, donde no se requiere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2,Consultorio donde se realizan procedimientos: Ambiente con mínimo 10 m2 (sin incluir la unidad sanitaria) que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.1,• Área para entrevista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.2,• Área de procedimientos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.3,• Las áreas están separadas entre sí por barrera física fija.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.4,• Mesón de trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.5,"• Poceta, cuando la requiera, según los procedimientos que el prestador documente en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Características de los ambientes y áreas que pueden ser requeridos en varios servicios de salud,11.1.2,28,28.2.6,• Lavamanos. No se exige adicional si el consultorio cuenta con una unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
