standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,8,,Los anteriores ambientes pueden ser compartidos entre los servicios de cuidado intermedio e intensivo pediátricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,9,,Las puertas de acceso al servicio deben permitir el paso y giro de cunas o camas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,10,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,10,10.1,• Ambiente para extracción de leche materna y preparación de fórmulas artificiales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,10,10.2,• Ambiente de aislamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,11,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente por cada cubículo o paciente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.1,• Cuna o cama hospitalaria de dos o tres planos de acuerdo con el tipo de servicio ofrecido.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.2,"• Monitor de signos vitales con trazado electrocardiográfico, presión no invasiva y saturación de oxígeno. Con accesorios pediátricos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.3,• Bomba de infusión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.4,"• Oxímetro con sensor pediátrico, cuando no esté incluido en el monitor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.5,• Tensiómetro por cada paciente cuando no esté incluido en el monitor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.6,• Fonendoscopio pediátrico o adulto por cada paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,12,12.7,• Resucitador pulmonar manual pediátrico por cada paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,,Disponibilidad en el servicio:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.1,• Carro de paro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.2,• Glucómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.3,• Equipo de órganos de los sentidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.4,• Monitor de signos vitales de transporte con accesorios pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.5,• Oxígeno medicina portátil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.6,• Tallímetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.7,• Cinta métrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.8,• Aspirador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.9,• Equipo de rayos x portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.10,• Ventilador de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,13,13.11,• Electrocardiógrafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,14,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,15,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con oxígeno medicinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,16,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.1,• Criterios de ingreso y egreso al servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.2,"• Manejo de las principales causas de hospitalización, según oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.3,• Ronda médica diaria de evolución de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.4,• Solicitud de interconsultas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.5,• Entrega de turno por parte de enfermería y de medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.6,• Control de líquidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.7,• Plan de cuidados de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.8,• Administración de medicamentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.9,• Sujeción de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.10,• Toma de muestras de laboratorio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.11,• Cateterismo vesical.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.12,• Preparación para la toma de imágenes diagnósticas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.13,• Ilustrar al paciente en el auto cuidado de la salud y la preservación de la seguridad de su atención.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.14,• Información a usuarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.15,• Revisión del carro de paro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.16,"• Actividades de rehabilitación: fisioterapia, terapia ocupacional y terapia del lenguaje, que incluya los tipos de elementos e insumos requeridos para cada tipo de actividad, según se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.17,• Valoración y seguimiento por nutrición que incluya minuta patrón de alimentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.18,• Inserción de catéteres centrales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.19,• Cambio de líneas Intravenosas (centrales y periféricas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.20,• Alimentación enteral y parenteral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.21,• Punción lumbar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.22,• Cuidados por terapia respiratoria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.23,• Oxigenoterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.24,• Medidas para reducir el riesgo de la atención del paciente crítico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.25,• Control de visitas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,17,17.26,• Reanimación cardio cerebro pulmonar del paciente pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,18,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor – prestador referencia",11.4.6,19,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,20.1,• Servicio de laboratorio clínico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,20.2,• Servicio farmacéutico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,20.3,• Servicio de gestión pre transfusional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,20.4,• Servicio de imágenes diagnósticas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,20,20.5,"• Servicio de hospitalización, para atención del paciente pediátrico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,21,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,21,21.1,"• Transporte asistencial, en complejidad mediana.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad intramural,11.4.6,21,21.2,"• Servicios de apoyo (alimentación, lavandería y vigilancia).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,MEDIANA,Modalidad telemedicina – prestador remisor - prestador de referencia,11.4.6,22,,No aplica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
