standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,,9.4,• Profesional de la psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,10,,"Cumple con los criterios que le sean aplicables de todos los servicios, y adicionalmente cuenta con profesional de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,11,,"La disponibilidad del profesional de la medicina especialista puede realizarse mediante la categoría telexperticia sincrónica o asincrónica, entre profesionales de la salud de acuerdo con  lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,12,,"El profesional de la salud puede hacer uso de la telexperticia sincrónica o asincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,13,,Cumple los criterios definidos para todos los servicios hospitalización de mediana complejidad y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,14,,"Disponibilidad del profesional de la medicina especialista por cada especialidad ofertada, que tendrá una permanencia mínima de 6 horas por cada 24 horas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,15,,"Si ofrece hospitalización para paciente oncológico, adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,15,15.1,• Profesional de la enfermería con especialidad en oncología o con constancia de asistencia en acciones de formación continua del cuidado integral del paciente oncológico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,15,15.2,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,15,15.3,• Todo el personal mencionado cuenta con constancia de asistencia en las acciones de formación continua para la atención del paciente oncológico a excepción de los profesionales especialistas en oncología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,16,,"Si ofrece trasplante de células progenitoras hematopoyéticas adulto o pediátrico, adicional a lo definido en los numerales 13 y 14:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,16,16.1,• Cuenta con profesional de la enfermería con especialidad en oncología o con constancia de asistencia en las acciones de formación continua del cuidado del paciente trasplantado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,16,16.2,"• Disponibilidad del profesional de la medicina especialista en hematología o hematología y oncología, con permanencia durante los procedimientos definidos por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,16,16.3,"• Todo el personal mencionado cuenta con constancia de asistencia en las acciones de formación continua del cuidado del paciente trasplantado, a excepción de los profesionales especialistas en oncología",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.1,17,,El personal que participe en el trasplante debe estar inscrito ante la coordinación regional de la Red de Donación y Trasplantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,18,,"Cumple con los criterios que le sean aplicables de todos los servicios, y adicionalmente cuenta con profesional de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,19,,"Profesional de la medicina especialista, cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica o asincrónica, entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.1,• Sala de procedimientos cuando el servicio cuente con habitaciones múltiples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.2,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.3,• Área para estacionamiento de camillas y sillas de ruedas.,,,,,,Demarcar area de sillas de ruedas,Dayana,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4,"• Habitación individual o múltiple para pacientes adultos, pediátricos o lactantes, según oferta, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.1,"• Lavamanos, sanitario, ducha, área de guardarropa y sistema de llamado por cama o cuna.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.2,"• La habitación individual para pacientes adultos, pediátricos o lactantes debe tener un área mínima de 16 m2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.3,"• La habitación múltiple para pacientes adultos debe tener una capacidad máxima de 4 camas, con área libre mínima de 7 m2 por cama, separadas con barrera física fija o móvil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.4,"• La habitación múltiple para pacientes pediátricos debe tener una capacidad máxima de 6 camas, con área libre mínima de 6 m2 por cama, separadas con barrera física fija o móvil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.5,"• La habitación múltiple para lactantes debe tener un área libre mínima de 4 m2 por cuna, con área para bañar y vestir a los lactantes y unidad sanitaria para acompañante. La capacidad máxima de cunas será definida por el prestador según su capacidad instalada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.6,• Las habitaciones para pacientes adultos deben estar separadas de las habitaciones para pacientes pediátricos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.7,"• Las habitaciones para pacientes pediátricos cuentan con sistema de seguridad en las ventanas, mecanismos de protección en las instalaciones eléctricas y los aparatos sanitarios y muebles, deben tener la altura adecuada que permita al paciente su fácil utilización.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.8,• Las puertas de acceso a las habitaciones deben permitir el paso y giro de camillas y sillas de ruedas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.4.9,• El ambiente donde esté ubicado el sanitario y la ducha debe permitir el fácil desplazamiento del paciente y contar con sistema de llamado de enfermería audible y visible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.5,• Habitación individual de aislamiento que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.5.1,"• Antecámara a manera de filtro, con lavamanos. La presión del aire debe ser acorde con la patología del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.5.2,• Baño.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.5.3,• Área de guardarropa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,20,20.6,"• Si ofrece trasplante de células progenitoras hematopoyéticas adulto o pediátrico, cuenta con habitación individual de aislamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,21,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,21,21.1,• Sala de visitas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,21,21.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,21,21.3,• Ambiente para almacenamiento y distribución de alimentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor – categoría telexperticia",11.4.1,21,21.4,• Ambiente para la preparación de fórmulas artificiales y extracción de leche materna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidad extramural domiciliaria y telemedicina: Categoría telexperticia – prestador remisor - prestador referencia Categoría telemonitoreo – prestador remisor - prestador referencia,11.4.1,22,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,23,,Cumple con los criterios del servicio de hospitalización de baja complejidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA Y ALTA,"Modalidad telemedicina: Categoría telexperticia – prestador referencia
",11.4.1,24,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,25,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,25,25.1,"• Camas hospitalarias, de acuerdo con la oferta del servicio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,25,25.2,"• Carro de paro. Si el servicio de hospitalización está en varios pisos o niveles, cada piso o nivel, cuenta con mínimo un carro de paro, asegurando que se encuentren en permanente disposición y fácil localización para brindar una atención oportuna sin poner en riesgo la vida del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.1,• Bomba de infusión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.2,• Glucómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.3,• Silla de ruedas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.4,• Tensiómetro para adulto o pediátrico de acuerdo con la oferta del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.5,• Fonendoscopio adulto o pediátrico de acuerdo con la oferta del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.6,• Equipo de órganos de los sentidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.7,• Electrocardiógrafo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,26,26.8,• Oxígeno medicinal que puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,27,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,28,,"El domicilio del paciente cuenta con nevera, cuando los medicamentos requieran cadena de frío. Corresponde al prestador que habilita el servicio, constatar este criterio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,,La sede del prestador cuenta con la dotación de equipos biomédicos que requiera la atención del paciente de acuerdo con lo documentado en el estándar de procesos prioritarios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.1,• Fonendoscopio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.2,• Tensiómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.3,• Equipo de órganos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.4,• Oxímetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.5,• Glucómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.6,• Martillo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.7,• Termómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.8,• Metro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.9,• Atriles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,"Modalidad extramural domiciliaria, telemedicina - prestador remisor - categoría telexperticia y categoría telemonitoreo",11.4.1,29,29.10,• Bomba de infusión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador referencia Categoría telemonitoreo – prestador referencia,11.4.1,30,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,31,,"Cumple con los criterios que le sean aplicables de todos los servicios, y del servicio de hospitalización de baja complejidad y adicionalmente:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,,"Si ofrece trasplante de células progenitoras hematopoyéticas a pacientes adultos o pediátricos,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1,• Cada habitación cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.1,• Bomba de infusión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.2,• Monitor de signos vitales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.3,• Oxímetro si no se encuentra incluido en el monitor de signos vitales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.4,• Aspirador de secreciones mediante succionador o punto de red central con regulador de succión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.5,"• Tensiómetro adulto o pediátrico según oferta, si no está incluido dentro del monitor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.1.6,• Fonendoscopio adulto o pediátrico según oferta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,32,32.2,"• Disponibilidad en el servicio de monitor con presión no invasiva, trazado electrocardiográfico y oximetría que puede ser integrada o externa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,33,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,33,33.1,• Monitor de transporte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor - categoría telexperticia",11.4.1,33,33.2,• Equipo de rayos x portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
