standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.6,"• Laringoscopio con hojas rectas y curvas, cuando el talento humano del servicio se preste con profesional de la medicina.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7,• Maletín básico para manejo de trauma que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.1,• Gasas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.2,• Compresas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.3,• Vendas de gasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.4,• Vendas de tela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.5,• Vendas elásticas de varios tamaños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.6,• Dos torniquetes para el control de hemorragias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.7,• Inmovilizador cervical adulto y pediátrico (multi-talla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.8,• Dos mantas térmicas o aluminizadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.7.9,• Férulas rígidas o maleables para la sujeción de extremidades.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8,"• Maletín para examen físico, que cuenta con los siguientes equipos biomédicos:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.1,• Fonendoscopios (adulto y pediátrico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.2,• Tensiómetros (adulto y pediátrico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.3,• Termómetro clínico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.4,• Equipo de órganos de los sentidos con baterías de repuesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.5,• Glucómetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.6,• Lámpara portátil (linterna),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.7,• Tijeras corta todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.8,• Guantes desechables y estériles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.9,• Mascarillas o tapabocas desechables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.10,• Gafas de bioprotección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.11,• Baja lenguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad telemedicina - prestador remisor,11.6.3,10,10.8.12,• Oxímetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,11,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,12,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,12,12.1,"• Maletín con medicamentos, equipos biomédicos y dispositivos médicos, definidos con base en la información documentada en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,13,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.1,• Manejo de urgencias prehospitalarias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.2,• Atención en salud de pacientes con problemas y trastornos en salud mental o consumo de sustancias psicoactivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,14,14.3,"• Medicamentos, equipos biomédicos y dispositivos médicos en los procedimientos que se realicen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,BAJA,Modalidad de telemedicina prestador de referencia,11.6.3,15,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,,Cumple con los criterios que le sean aplicables de todos los servicios de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.1,• Tarjetas de clasificación de multitud de lesionados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2,• Registro con el nombre de los pacientes atendidos que cuenta con la siguiente información:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.1,• Fecha.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.2,• Hora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.3,• Origen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.4,• Tipo de servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.5,• Nombre del personal que atiende el servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.6,• Evolución y manejo del paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidades extramural y telemedicina - prestador remisor,11.6.3,16,16.2.7,• Nombre institución receptora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,BAJA,Modalidad de telemedicina - prestador de referencia,11.6.3,17,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,BAJA,Modalidades extramural y telemedicina - prestador remisor- prestador de referencia,11.6.3,18,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
