standar,complexity,modality,article,section,paragraph,criteria,cumply,NO cumply,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
"MEDICAMENTOS, DM E INSUMOS",No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,8,,"cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Medicamentos, dispositivos médicos e insumos requeridos para la toma de las muestras, de acuerdo con lo documentado en el estándar de procesos prioritarios",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,9,,"cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con la siguiente información documentada:",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,9,9.1,"• Toma, recepción, identificación, transporte, conservación, embalaje y remisión de las muestras.",,X,,REVISAR CONTRATACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,9,9.2,• Entrega de resultados.,,X,,REVISAR CONTRATACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,9,9.3,• Supervisión de la toma de muestras cuando sea realizada por los auxiliares.,,X,,REVISAR CONTRATACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,9,9.4,• Procedimiento y condiciones para la toma de muestras en la modalidad extramural cuando se realicen.,,X,,REVISAR CONTRATACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,10,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,10,10.1,"• Registro de pacientes, muestras tomadas, exámenes solicitados y muestras remitidas.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,10,10.2,• Registro de los resultados de los exámenes remitidos. Los resultados de los exámenes deben ser entregados al paciente con el nombre del laboratorio clínico y la persona que los realizó.,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,10,10.3,• Contrato o convenio escrito con el o los laboratorios que realizan el procesamiento de las muestras. Cuando se trate de sedes de un mismo prestador no requiere convenio o contrato.,,X,,CONTRATO,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,10,10.4,"• Contrato o convenio escrito con el servicio de patología cuando se recepcione fragmentos de tejidos, órganos (biopsias) y material citológico de origen humano para su estudio. Cuando se trate de sedes de un mismo prestador no requiere convenio o contrato.",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,11,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente disponibilidad de: Servicio de laboratorio clínico,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
