standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.1,"• Señal luminosa a la entrada de la sala, indicando que el equipo está en funcionamiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.2,• Circuito cerrado de TV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.3,• Enclavamientos de seguridad en la puerta para suspender la irradiación en caso de que la puerta se abra.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.4,• Ambiente de consola de comando por fuera de la sala. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.5,"Disponibilidad de:
           • Lavamanos quirúrgico por fuera del ambiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.6,• Ambiente lavado de instrumental.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6.7,• Vestidor de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.7,• Ambiente de recuperación que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.7.1,• Área para camillas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.7.2,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.7.3,• Puesto de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.8,"• Ambiente para almacenamiento temporal de fuentes radiactivas en desuso, acorde con lo establecido en la licencia de diseño.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.9,"• Cuando en sala de cirugía se realice la implantación de dispositivos de braquiterapia y la administración de la dosis, la sala de cirugía deberá cumplir lo requerido para la sala de procedimientos de braquiterapia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,6,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,6,6.1,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,6,6.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,6,6.3,• Ambiente de simulación de tratamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,7,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.1,"• Sala de tratamiento con unidad de tratamiento correspondiente, que cuenta con: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.1.1,• Acelerador lineal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.1.2,"• Sistemas de monitoreo de radiación (monitor de área independiente, alimentados con UPS), con certificado de calibración expedido por un LSCD (laboratorio secundario de calibración y dosimetría).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.1.3,• Video para la observación del paciente y de comunicación por voz con el paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.2,• Sistema de verificación de tratamiento (películas de verificación o sistema electrónico de imágenes portales).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.3,"• Para el acelerador lineal, cuenta con un sistema dosimétrico de control diario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.4,• Sistema de dosimetría absoluta y relativa de acuerdo con la tecnología empleada en el servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.5,• Sistema de control de calidad paciente de acuerdo con la tecnología empleada en el servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.6,"• Oxígeno medicinal y succión cuando se realicen procedimientos de teleterapia o braquiterapia de alta tasa de dosis, que pueden ser suministrados mediante salida de oxígeno medicinal y sistema de vacío o mediante oxígeno medicinal portátil y aspirador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.7,• Cuando se realicen procedimientos de braquiterapia cuenta con: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.7.1,• Sistema de braquiterapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,8,8.7.2,• Sistema de calibración de fuentes selladas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,9,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,9,9.1,• Dispositivos para sujeción de los pacientes según la tecnología empleada y los procedimientos que se realicen en el servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,9,9.2,• Equipo de simulación de tratamiento propio o en convenio. No se aceptarán equipos convencionales de rayos X adaptados para hacer radiografías de localización.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,9,9.3,• Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,10,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:
Oxígeno medicinal, cuando se realicen procedimientos de teleterapia o braquiterapia de alta tasa de dosis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,Modalidad telemedicina – prestador de referencia,11.3.6,11,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.1,• Inicio de tratamiento de radioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.2,• Simulación de tratamientos y definición de los profesionales que participan en el proceso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.3,"• Planeación y cálculo del plan de tratamiento, incluyendo distribución de dosis, tiempo de tratamiento (minutos o unidades monitoras) y definición de los profesionales que participan en el proceso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.4,• Verificación inicial de tratamiento y definición de los profesionales que participan en el proceso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.5,• Verificación del cálculo de la distribución de las dosis y definición de los profesionales que participan en el proceso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.6,• Administración de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.7,• Procedimientos en los cuales se requiere la permanencia del profesional de la medicina especialista en radioterapia u oncología radioterápica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,12,12.8,"• Procedimientos de implantación de dispositivos de braquiterapia y administración de dosis que pueden realizarse en la sala de braquiterapia o en la sala de cirugía de acuerdo con lo definido por el prestador, cuando los realice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,13,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con los siguientes registros:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1,• Registro de tratamiento de cada paciente que cuenta como mínimo con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.1,"• Tipo de tratamiento, distribución de dosis y tiempo de tratamiento (minutos o unidades monitoras).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.2,• La selección de los objetivos o intención del tratamiento - curación / paliación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.3,• Identificación de órganos y tejidos sensibles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.4,"• Simulación, planificación de los campos de tratamiento y de los volúmenes a tratar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.5,• Selección de la modalidad y la energía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.6,• Registro de inicio de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.7,• Verificación de la exactitud de la repetición del tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.8,• Evaluación de la tolerancia al tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.1.9,• Evaluación de las complicaciones del tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2,• Registros de calibraciones y controles de calidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2.1,• Acelerador lineal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2.2,• Equipos de simulación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2.3,• Las fuentes radiactivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2.4,• Cálculo de la distribución de las dosis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.2.5,• Sistema de registro diario para aceleradores lineales y registros de control de calidad para todos los equipos generadores de radiaciones ionizantes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.6,14,14.3,• Registro de las mediciones de las fuentes en desuso para devolverlas al proveedor acorde con su actividad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,15,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,16.1,• Servicio de urgencias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,16.2,• Servicio de hospitalización.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,16.3,• Servicio de cirugía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,16.4,• Servicio farmacéutico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.6,16,16.5,• Servicio de transporte asistencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad telemedicina – prestador remisor - prestador de referencia,11.3.6,17,,No aplica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
