standar,complexity,modality,TIPO DE TRANSPORTE,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.5,"• En todos los lados exteriores de la carrocería incluida el techo está la leyenda “ambulancia”, fabricada en material reflectivo. En el aviso de la parte anterior externa de la carrocería, la palabra “ambulancia”, tiene un largo mínimo del 90% del frente del vehículo y está escrita en sentido inverso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.6,"• En los costados y en la parte posterior de la ambulancia, lleva el nombre o logotipo del prestador de servicios de salud a la cual pertenece, también lleva la sigla TAB o TAM y el nombre del municipio sede del prestador de servicios de salud.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.7,"• En los costados, puertas posteriores y en el techo de la ambulancia, deberá tener “estrella de la vida”, de color azul o verde reflectivo, o el emblema protector de la misión médica de conformidad con lo dispuesto en la Resolución 4481 de 2012 o las normas que la modifiquen, adicionen o sustituyan del Ministerio de Salud y la Protección Social.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,13,13.8,"• Los vehículos de transporte asistencial en baja o mediana complejidad que estén al servicio de la sociedad nacional de la cruz roja colombiana, comité internacional de la cruz roja y la federación internacional de sociedades de la cruz roja estarán exentos de cumplir el anterior requisito y su emblema será la cruz roja sobre fondo blanco. De igual manera, los medios de transporte sanitario que pertenecen a las fuerzas militares y de policía, conservarán sus colores correspondientes y se identificarán con el emblema de la cruz roja, pintado sobre un recuadro blanco.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,,El vehículo cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.1,"• Dispositivo de señalización óptica (barra de luces) en la parte delantera y por encima del vidrio parabrisas que puede ser de tipo rotatorio, intermitente o estroboscópico, visible como mínimo a 180º y de fácil observación con la luz del día.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.2,"• Dispositivo de señalización óptica, que puede ser de tipo rotatorio, intermitente o estroboscópico, visible como mínimo a 180º y de fácil observación a la luz del día, que se encuentra ubicado en la parte posterior de la carrocería del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.3,"• Dos luces de delimitación: laterales, blancas fijas, distribuidas simétricamente en cada costado del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,14,14.4,"• Dos luces de delimitación: laterales rojas intermitentes, distribuidas simétricamente en cada costado del vehículo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,,Interior del vehículo Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.1,"• Revestimientos interiores del compartimiento del paciente sin elementos afilados o cortantes, de material lavable, con acabados no rugosos y resistentes al deterioro por agentes desinfectantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.2,"• Piso antideslizante, su unión con las paredes es hermética y se encuentra adherido al vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.3,"• Silla del acompañante y silla del personal auxiliador, de material lavable que cuenta con cinturones de seguridad y protección para la cabeza y la espalda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.4,• Cinturones de seguridad adicionales para sostener una camilla adicional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.5,"• Leyenda de “este es un espacio libre de humo de tabaco” u otro similar” y “use el cinturón de seguridad”, ubicada en el compartimiento del paciente.",,,,,,revisar aviso,dayana,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.6,"• Gabinetes del compartimiento del paciente que son livianos, de material resistente, lisos, lavables, sin bordes agudos o filos cortantes y cuentan con puertas de material transparente, resistente, con anclajes seguros para evitar su apertura.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.7,"• Los gabinetes llevan el nombre correspondiente y colores de identificación para guardar los elementos de acuerdo con su especialidad, así: azul: sistema respiratorio; rojo: sistema circulatorio; amarillo: pediátrico; verde: quirúrgico y accesorios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.8,• Entrepaños de los gabinetes que cuentan con borde ligeramente elevado para evitar que los medicamentos y equipos biomédicos se caigan cuando el vehículo está en movimiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.9,• Los gases del tubo de escape no ingresan al interior de la ambulancia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.10,• Cuenta con iluminación interior para toda el área de manejo del paciente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.11,• Lámpara desmontable que permita su utilización a distancia del vehículo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.12,"• Barra pasamanos en el compartimiento del paciente, fijada al techo y resistente para sostener al personal asistencial cuando el vehículo esté en movimiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,15,15.13,• Compartimiento aislado para los cilindros de oxígeno medicinal con manómetros visibles y regulables desde el interior del compartimiento del paciente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,16,,Sistema sonoro y de comunicaciones Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,16,16.1,• Sirena como sistema principal de alerta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,16,16.2,"• Sistema de telecomunicaciones de doble vía, asignado exclusivamente a la ambulancia, que le permita establecer contacto con su central, base o red de coordinación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,16,16.3,• Sistema de georreferenciación y comunicación que permita el monitoreo y contacto con la entidad territorial en salud a través del CRUE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,17,,Otras condiciones generales de seguridad del vehículo Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,17,17.1,"• Extintor para fuegos ABC, con capacidad mínima de carga de 2.26 kg. Para cada uno de los compartimentos de la ambulancia (conductor y paciente).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias terrestres,11.6.2,17,17.2,• Chalecos reflectivos para la tripulación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,,Condiciones generales de la embarcación Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.1,"• El diseño y la construcción de la embarcación cumple con la normatividad vigente a la fecha de la construcción, expedidas por las autoridades competentes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.2,"• Compartimiento para el paciente que tiene como mínimo las siguientes dimensiones: largo útil 2.20 metros, ancho útil 2.20 metros, altura interna útil 2.0 metros. (sobre estas medidas se autorizan variaciones máximas del 15 %).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.3,• Soportes y elementos metálicos de los equipos biomédicos no representan riesgo de accidente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.4,"• Banco para soportar una camilla principal, construida en material resistente y fijado en la cubierta del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.5,"• El piso no debe poseer elementos afilados o cortantes y está fabricado en material lavable, que evite la acumulación del mugre y contaminantes, resistente a los agentes desinfectantes habituales, antideslizante, con las uniones del piso con las paredes herméticamente selladas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.6,• La embarcación está fabricada en materiales resistentes al medio acuático.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.7,"• La cubierta inferior del compartimiento del paciente está fabricada en material antideslizante, sin elementos afilados o cortantes, de material lavable, con acabados redondeados, superficies pulidas y resistentes a agentes desinfectantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.8,"• La disposición de los soportes y elementos metálicos para equipos de asistencia, deben quedar de tal forma que no produzcan daño a los ocupantes del vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.9,"• Techo-cubierta de material rígido o plegable, liviano, para proteger y cubrir los compartimientos del paciente, piloto y acompañantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidades extramural y telemedicina - prestador remisor,Ambulancias marítimas y fluviales,11.6.2,18,18.10,"• El techo-cubierta debe servir en su parte exterior de soporte a los dispositivos de alerta, luces y exploradoras y en su parte interior para la fijación de los rieles para ubicación de líquidos parenterales y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
