standar,complexity,modality,article,section,paragraph,criteria,cumply,NO cumply,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.3,• Sistema de infusión rápida de líquidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.4,• Sistema de calentamiento de líquidos y sangre si aplica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5,"• Monitor de signos vitales con accesorios adultos o pediátricos según la oferta, que cuente mínimo con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.1,• Trazado electrocardiográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.2,• Presión no invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.3,• Saturación de oxígeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.4,• Temperatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.5.5,• Batería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.6,• Carro de paro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.7,"• Oxígeno medicinal, el cual puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.2.8,"• Succión, el cual puede ser suministrado mediante vacío o aspirador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3,• Disponibilidad en el servicio de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3.1,• Equipo de gases arteriales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidad intramural, telemedicina - prestador  remisor",11.3.9,11,11.3.2,• Electrocardiógrafo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,12,,cumply con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina – prestador remisor",11.3.9,13,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Oxígeno medicinal en la sala de hemodinamia e intervencionismo y en la sala de recuperación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,Modalidad telemedicina - prestador de referencia,11.3.9,14,,cumply con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,,"cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con la siguiente información documentada:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.1,• Realización y supervisión de los procedimientos diagnósticos y de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.2,• Instrucciones a los pacientes sobre la preparación de los procedimientos diagnósticos y de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,15,15.3,"• Acciones para evitar el efecto nocivo de las radiaciones para los pacientes, el personal, los visitantes y el público en general.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,16,,cumply con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con los siguientes registros:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.1,• Registro de tiempo de exposición.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.2,"• Número de exposiciones, que incluya el nombre del paciente y nombre del estudio realizado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.3,• Dosis de radiación expresadas en unidades según la tecnología del equipo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.9,17,17.4,• Control de calidad de los equipos generadores de radiación ionizante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,Modalidad telemedicina - prestador de referencia,11.3.9,18,,cumply con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.1,• Servicio de hospitalización.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.2,• Servicio de cuidado intensivo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.3,"• Servicio de cirugía, que incluya las diferentes especialidades habilitadas, según el tipo de intervencionismo realizado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.4,• Servicio de gestión pre transfusional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidades intramural,11.3.9,19,19.5,• Servicio farmacéutico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad telemedicina – prestador remisor - prestador de referencia,11.3.9,20,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
