standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,16,16.3,"• Circulación al interior del servicio que permite el flujo y desplazamiento expedito del personal y pacientes, facilitando los procesos de atención inmediata, oportunidad en la atención y las relaciones funcionales e interdependencia con los otros servicios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,17,,"Cuando la sala de observación o el ambiente de transición del servicio de urgencias se preste en más de un piso o nivel en la misma edificación, el traslado de los pacientes entre los niveles o pisos, se realizará mediante ascensor para movilización de pacientes en camilla, de uso exclusivo, o rampa de uso exclusivo hasta tres (3) niveles o pisos. A partir de tres (3) o más pisos o niveles contados a partir del nivel más bajo construido, se realizará mediante ascensor para movilización  de pacientes en camilla, de uso exclusivo. Adicionalmente, cuenta con una sala de reanimación adicional a la ubicada en el piso o nivel de acceso directo desde el exterior de la edificación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.2,"• Unidades sanitarias discriminadas por sexo. De las cuales mínimo una (1) unidad sanitaria discriminada por sexo, es apta para personas con movilidad reducida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.3,• Área para estacionamiento de camillas y sillas de ruedas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.4,"• Ambiente para descontaminación de pacientes, con ducha teléfono y sistema de drenaje.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.5,"• Consultorios con lavamanos., Al menos uno de los consultorios cuenta con unidad sanitaria el cual no requiere lavamanos adicional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.6,• Ambiente o área de Triage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.7,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.8,• Sala de procedimientos (8m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.9,"• Ambiente para atención de la Enfermedad Respiratoria Aguda, cuando se requiera. 18.10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.10,"• Ambiente para inmovilización, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.11,"• Ambiente para rehidratación oral, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.12,• Ambiente para realización de pruebas POCT cuando se requiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.13,• Ambiente de aislamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.14,• Sala de reanimación (12 m2) que cuenta  con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.14.1,• Mesón de trabajo con poceta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.14.2,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.15,"• Sala de observación adultos (6 m2 por camilla) independiente por sexo, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.15.1,• Estación de enfermería que puede compartirse con la sala de observación pediátrica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.15.2,• Baño discriminado por sexo con ducha teléfono.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.15.3,• Barrera física móvil o fija entre camillas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.15.4,• Sistema de llamado de enfermería por camilla de observación y en los baños ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.16,"• Sala de observación pediátrica (6 m2 por camilla), que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.16.1,• Estación de enfermería que (puede compartirse con la sala de observación adultos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.16.2,• Baño con ducha teléfono y área acondicionada para bañar y vestir los lactantes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.16.3,• Barrera física móvil o fija entre camillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.16.4,• Sistema de llamado de enfermería por camilla de observación y en los baños ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.17,"• Ambiente de transición cuando se requiera conforme a la información documentada en el estándar de procesos prioritarios, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.17.1,• Puesto de enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.17.2,• Unidad sanitaria discriminada por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,18,18.18,• Área señalizada y exclusiva para el acceso y parqueo de ambulancias a la entrada del servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidad telemedicina - prestador de referencia,11.6.1,19,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA Y ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,20,,Cumple con los criterios definidos para el servicio de urgencias de baja complejidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA Y ALTA,Modalidad telemedicina - prestador de referencia,11.6.1,21,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.1,• Instrumental gineco-obstétrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.2,• Equipo de atención de partos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.3,• Elementos para sujeción física para pacientes adultos y pediátricos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.4,• Equipo de toracostomía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.5,• Carro de paro para paciente adulto y pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6,• Monitor de signos vitales con accesorios adultos o pediátricos que cuenta como mínimo con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6.1,• Trazado electrocardiográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6.2,• Presión no invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6.3,• Saturación de oxígeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6.4,• Temperatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.6.5,• Batería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.7,"• Oxímetro, cuando no se encuentre incluido en el monitor de signos vitales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.8,• Bomba de infusión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.9,• Electrocardiógrafo de 12 derivaciones ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.10,• Nebulizador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,22,22.11,• Oxígeno medicinal y succión. Puede ser suministrado mediante salida de oxígeno medicinal y sistema de vacío o mediante oxígeno medicinal portátil y aspirador.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,,"Consultorio de urgencias, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.1,"• Camilla con estribos, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.2,• Tensiómetro adulto y pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.3,• Fonendoscopio adulto y pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.4,• Termómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.5,• Báscula grado médico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.6,• Báscula para bebé cuando se requiera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.7,• Cinta métrica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.8,• Martillo de reflejos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,23,23.9,• Equipo de órganos de los sentidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,,"Sala de procedimientos, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.1,"• Camilla con barandas, ruedas y freno.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.2,• Lámpara o fuente de iluminación móvil o fija.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.3,• Equipo de pequeña cirugía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.4,• Dotación requerida conforme con lo documentado en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.5,• Oxígeno medicinal que puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,24,24.6,• Succión. Puede ser suministrado mediante sistema de vacío o mediante aspirador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,25,,Sala de reanimación que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,25,25.1,• Oxígeno medicinal que puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,25,25.2,• Succión. Puede ser suministrado mediante sistema de vacío o mediante aspirador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,26,,"Sala de observación, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,26,26.1,"• Camilla con barandas, ruedas y freno.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,26,26.2,• Dotación requerida conforme con lo documentado en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,26,26.3,• Oxígeno medicinal que puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil por camilla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,26,26.4,• Succión. Puede ser suministrado mediante sistema de vacío o mediante aspirador.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,27,,Ambiente de transición que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,27,27.1,• Silla reclinable escualizable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,,"Sala de reanimación, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.1,• Camilla rodante con freno y con baranda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.2,• Mesa auxiliar rodante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.3,• Aspirador para cada camilla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.4,• Monitor de signos vitales con accesorios adultos o pediátricos que cuenta como mínimo con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.4.1,• Trazado electrocardiográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,28,28.4.2,• Presión no invasiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
