standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,5,5.1,• Ducha de seguridad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.1,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.3,• Sala de lectura y transcripción de resultados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.4,• Ambiente destinado únicamente para segregación y decaimiento de ropa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.5,• Ambiente destinado únicamente para segregación y decaimiento de residuos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,6,6.6,"• Vestidor de pacientes, con disponibilidad de área para casilleros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,7,,"Todas las áreas cuentan con la señalización correspondiente (zona controlada y supervisada), haciendo uso del símbolo de radiación internacionalmente aceptado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,8,,Cuenta con señal luminosa a la entrada indicado que el equipo está en funcionamiento (únicamente aplica cuando el método diagnóstico incluye CT).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,9,,"Adicional a lo anterior, cuando se realicen procedimientos de medicina nuclear diagnóstica SPECT, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,9,9.1,"• Ambiente de pacientes inyectados, con unidad sanitaria de uso mixto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,9,9.2,"• Ambiente exclusivo para la Gammacámara o SPECT o SPECT-CT. La dimensión de este ambiente debe ser acorde al tipo de equipo, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización de pacientes, talento humano, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,9,9.3,• Ambiente para administración de radiofármacos. Este ambiente  puede  ser  compartido entre los procedimientos de diagnóstico y terapéutico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,9,9.4,"• Ambiente o área de control / comando, de acuerdo con la tecnología a utilizar, que permita visualización del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,10,,"Cuando se realicen procedimientos de medicina nuclear diagnóstica PET/CT o PET RMN, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,10,10.1,"• Ambiente de PET/CT o PET RMN. La dimensión de este ambiente debe ser acorde al tipo de equipo, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,10,10.2,"• Ambiente de control / comando, de acuerdo con la tecnología a utilizar, que permita visualización del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,10,10.3,"• Ambiente de administración y captación radiofármacos PET (mínimo dos ambientes blindados por equipo), que cuenta con lavamanos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,10,10.4,• Unidad sanitaria para pacientes inyectados de uso mixto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,11,,"Cuando se realicen terapias con radiofármacos de actividad menor a 30 mCi, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,11,11.1,• Ambiente o área con unidad sanitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,11,11.2,• Puesto de enfermería con sistema que permita la vigilancia y monitoreo permanente. Puede ser compartido entre terapias de mayor y menor a 30 mCi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,11,11.3,• Ambiente para aplicación administración de radiofármacos. Este ambiente puede ser compartido entre los procedimientos de diagnóstico y terapéutico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,12,,"Cuando se realicen terapias con radiofármacos de actividad mayor a 30 mCi y se tienen habitaciones dentro del servicio, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,12,12.1,• Puesto de enfermería con sistema que permita la vigilancia y monitoreo permanente. Puede ser compartido entre terapias de mayor y menor a 30 mCi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,12,12.2,• Habitaciones individuales con baño y aislamiento estricto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,13,,"Cuando se realicen terapias con radiofármacos de actividad mayor a 30 mCi y se tienen habitaciones en el servicio de hospitalización, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,13,13.1,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,13,13.2,• Habitaciones individuales con baño y aislamiento estricto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,Modalidad telemedicina - prestador de referencia,11.3.5,14,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.1,"• Cuando cuente con equipos de PET-TC o SPECT CT o SPECT, se garantiza la realización de los controles de calidad, por parte de un profesional en física o ingeniería física o ingeniería biomédica o físico médico, que cuenta con constancia de asistencia en las acciones de formación continua en control de calidad PET.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.2,"• Gammacámara o SPECT o SPECT CT, cuando realice medicina nuclear diagnóstica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.3,"• PET - CT o PET Resonancia, cuando realice medicina nuclear diagnóstica PET.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.4,• Cama hospitalaria cuando realice terapias con radionúclidos de actividad mayor a 30 mCi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.5,"• Gammacámara, cuando realice terapias con radionúclidos para rastreos pos-terapia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.6,• Carro de paro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,15,15.7,• Oxígeno medicinal. Puede ser suministrado mediante salida de oxígeno medicinal o mediante oxígeno medicinal portátil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,Modalidad telemedicina - prestador de referencia,11.3.5,16,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,17,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,17,17.1,"Certificado vigente de buenas prácticas de elaboración de radiofármacos expedido por el Invima, cuando el prestador de servicios salud cuente con radiofarmacia de media o alta complexity. En caso de contratar con un proveedor externo, éste debe contar con dicha certificación y contrato vigente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,17,17.2,"Acta de inspección expedida por el Invima, cuando el prestador de servicios salud cuente con radiofarmacia de baja complexity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,17,17.3,Oxígeno medicinal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Alta,Modalidad telemedicina - prestador de referencia,11.3.5,18,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.1,• Cuando el prestador realiza medicina nuclear diagnóstica:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.1.1,• Prescripción y dosificación de todos los radiofármacos o radionúclidos para Gammagrafías o estudios PET o SPEC CT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.1.2,• Procedimientos diagnósticos para gammagrafías o PET - CT o SPECT CT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.1.3,"• Procedimiento de perfusión miocárdica con isonitrilos, cuando lo realice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.2,• Cuando el prestador realiza terapias con radionúclidos:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.2.1,• Prescripción y dosificación de todos los radiofármacos o radionúclidos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.2.2,• Alta del paciente sometido a terapia con radiofármacos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.2.3,• Procedimientos terapéuticos realizados con radiofármacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.3,• Procedimientos en los cuales se requiere la permanencia del profesional de la medicina especialista en medicina nuclear y del profesional con título de postgrado en física médica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.4,"• Cuando en el servicio se realice diagnóstico y terapias con radionúclidos de actividad menor a 30 mCi, la programación de los pacientes debe darse por separado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,19,19.5,"• Cuando se realicen terapias con radionúclidos de actividad mayor a 30 mCi, la administración del radiofármaco debe realizarse en la habitación de aislamiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,Modalidad Telemedicina - prestador de referencia,11.3.5,20,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,21,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,21,21.1,"• Registro de resultados diagnósticos, cuando realice medicina nuclear diagnóstica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,21,21.2,"• Registro de resultados rechazados por el profesional de la medicina especialista en medicina nuclear y sus causas, cuando se realice medicina nuclear diagnóstica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,21,21.3,• Registro de tratamientos realizados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,21,21.4,"• Registro de mediciones de tasa de exposición o tasa de dosis equivalente, al momento del alta de pacientes sometidos a terapia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,Alta,Modalidad telemedicina - prestador de referencia,11.3.5,22,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.5,23,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.5,23,23.1,"• Servicio de consulta externa de medicina nuclear, cuando en el servicio se realicen terapias con radionúclidos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad intramural,11.3.5,23,23.2,"• Servicio de diagnóstico vascular, cuando en el servicio se realicen estudios de perfusión miocárdica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERDEPENDENCIA,Alta,Modalidad telemedicina – prestador remisor - prestador de referencia,11.3.5,24,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
